college_season,source_date,metric,rank,teamrankings_team,team_key,value,source_url
2004,2005-01-05,plays_pg,73,UCF,ucf,70.5,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,74,Iowa,iowa,70.5,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,75,UCLA,ucla,70.4,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,75,Wisconsin,wisconsin,70.4,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,77,S Florida,sflorida,70.3,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,78,Tennessee,tennessee,70.2,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,79,Hawai'i,hawaii,70.0,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,79,Florida,florida,70.0,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,81,Southern Miss,southernmiss,69.9,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,82,Vanderbilt,vanderbilt,69.7,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,83,Texas A&M,texasaandm,69.7,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,84,Akron,akron,69.6,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
